model,protein
X-1027,4467
X-1027,16441
X-1027,16081
X-1027,6814
X-1027,507
X-1027,4740
X-1027,15814
X-1027,13948
X-1027,10553
X-1027,6256
X-1027,13077
X-1027,14798
X-1027,4700
X-1027,2414
X-1027,4836
X-1027,2872
X-1027,2314
X-1027,4032
X-1027,8106
X-1027,1693
X-1027,12353
X-1027,8250
X-1027,12865
X-1027,10694
X-1027,14488
X-1027,10665
X-1027,10779
X-1027,9093
X-1027,5383
X-1027,12126
X-1027,12652
X-1027,5493
X-1027,16166
X-1027,15793
X-1027,625
X-1027,723
X-1027,8232
X-1027,16586
X-1027,13574
X-1027,12375
X-1027,16177
X-1027,16199
X-1027,15967
X-1027,14758
X-1027,8229
X-1027,15123
X-1027,13425
X-1027,14608
X-1027,12445
X-1027,2010
X-1027,14775
X-1027,16191
X-1027,8230
X-1027,3341
X-1027,14718
X-1027,5539
X-1027,9200
X-1027,5673
X-1027,17148
X-1027,9981
X-1027,14136
X-1027,7725
X-1027,10289
X-1027,2391
X-1027,15850
X-1027,8234
X-1027,6423
X-1027,5557
X-1027,16860
X-1027,3186
X-1027,13227
X-1027,15394
X-1027,13324
X-1027,16278
X-1027,6145
X-1027,1513
X-1027,13736
X-1027,16374
X-1027,7903
X-1027,15186
X-1027,8223
X-1027,14523
X-1027,15369
X-1027,8499
X-1027,9639
X-1027,3245
X-1027,16413
X-1027,12621
X-1027,3502
X-1027,8236
X-1027,10617
X-1027,16426
X-1027,11633
X-1027,7670
X-1027,12706
X-1027,4967
X-1027,8238
X-1027,9703
X-1027,3217
X-1027,9666
X-1027,9700
X-1027,9671
X-1027,4390
X-1027,15859
X-1027,16306
X-1027,698
X-1027,13540
X-1027,9446
X-1027,3195
X-1027,16819
X-1027,809
X-1027,10219
X-1027,7949
X-1027,3161
X-1027,11521
X-1027,4803
X-1027,4306
X-1027,6060
X-1027,9561
X-1027,2340
X-1027,4067
X-1027,15228
X-1027,2321
X-1027,3999
X-1027,967
X-1027,11669
X-1027,853
X-1027,16564
X-1027,12294
X-1027,12654
X-1027,7497
X-1027,7856
X-1027,10771
X-1027,5110
X-1027,5516
X-1027,9892
X-1027,10376
X-1095,16086
X-1095,16086
X-1095,1579
X-1095,12526
X-1095,8233
X-1095,15739
X-1095,2280
X-1095,12413
X-1095,11662
X-1095,15810
X-1095,11921
X-1095,16327
X-1095,15292
X-1095,13168
X-1095,16068
X-1095,15042
X-1095,12914
X-1095,12265
X-1095,7666
X-1095,12164
X-1095,7118
X-1095,5387
X-1095,14800
X-1095,15229
X-1095,1021
X-1095,2582
X-1095,15378
X-1095,3308
X-1095,11191
X-1095,848
X-1095,2047
X-1095,15080
X-1095,12062
X-1095,12933
X-1095,12704
X-1095,7899
X-1095,10210
X-1095,4688
X-1095,15272
X-1095,11016
X-1095,13356
X-1095,13026
X-1095,13680
X-1095,12784
X-1095,12008
X-1095,9165
X-1095,15853
X-1095,12633
X-1095,1675
X-1095,2420
X-1095,4887
X-1095,9676
X-1095,16170
X-1095,15792
X-1095,15816
X-1095,12277
X-1095,13496
X-1095,4467
X-1095,6814
X-1095,5806
X-1095,13948
X-1095,6256
X-1095,4700
X-1095,8106
X-1095,15774
X-1095,14488
X-1095,10665
X-1095,10779
X-1095,9093
X-1095,12126
X-1095,12652
X-1095,5493
X-1095,16166
X-1095,15793
X-1095,625
X-1095,723
X-1095,8232
X-1095,16586
X-1095,13574
X-1095,12375
X-1095,16177
X-1095,16199
X-1095,15967
X-1095,14758
X-1095,8229
X-1095,15123
X-1095,13425
X-1095,14608
X-1095,12445
X-1095,2010
X-1095,14775
X-1095,16191
X-1095,3341
X-1095,14718
